dwell_avg,flight_avg,traj_avg,day_type,label
0.15688871709923996,3.520501651261982,293.28656124373333,0.0,1
0.14952022433280945,3.154927688837051,262.0855517280698,0.0,1
0.1524805963039398,2.3745643496513367,482.1531238928915,0.0,1
0.1504845242751272,3.2244984789898523,412.18614491746365,0.0,1
0.15080563794998897,3.1650524934132895,470.5150237303743,0.0,1
0.10536249279975891,2.485372918844223,649.4790818718567,0.0,1
0.11587326777608771,2.159513555074993,425.87608255603084,0.0,1
0.11478099697514584,2.6794457561091374,378.07817966685855,0.0,1
0.10094144940376282,1.8933998823165894,456.79747529479965,0.0,1
0.09169893264770508,1.977051717042923,439.66596258819686,0.0,1
0.11023796740032378,2.0446283476693288,329.9609705659986,1.0,0
0.14614809814252352,2.7516845339222957,305.1643366200235,0.0,0
0.1001772008291105,1.5873773679500673,466.519482428288,0.0,0
0.1198570728302002,1.7738249992069446,504.70408139623675,0.0,0
0.09410573244094848,0.8858449816703796,416.76993097182714,0.0,0
0.11435106323986519,1.3956413210892096,345.241806179006,0.0,0
0.10060953497886657,1.945396739244461,537.866184867401,0.0,0
0.15218896170457205,1.6328725616137187,451.1305054733317,0.0,0
0.09486053629619319,1.9219317552520008,453.35916025365515,0.0,0
0.1374098313482184,1.2344410231238918,324.36495462790015,0.0,0
